ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
190, HIC_COMM_UK-GB FL HD , HIC_COMM_UK , GB FL HD ," 3,024,356 "," 8,422,108 "," 375,228 "," 2,620,829 "," 6,501,015 "," 12,453,579 "," 14,722,321 "," 23,871,212 "," 36,305,216 "," 50,700,572 "," 56,566,982 "," 73,040,712 "," 95,324,894 "," 168,527,311 "," 488,612 "," 3,226,544 "," 7,600,494 "," 14,098,200 "," 16,614,366 "," 26,312,277 "," 39,277,610 "," 53,958,848 "," 59,741,364 "," 77,221,030 "," 101,059,248 "," 187,062,943 "
191, HIC_FA_UK-GB WSSS CVV , HIC_FA_UK , GB WSSS CVV ," 4,570 "," 40,911 ", 561 ," 2,212 "," 4,931 "," 9,929 "," 12,229 "," 22,238 "," 38,713 "," 69,559 "," 86,549 "," 220,121 "," 581,219 "," 1,746,338 "," 2,051 "," 4,243 "," 7,394 "," 12,825 "," 15,258 "," 25,676 "," 42,560 "," 73,760 "," 90,843 "," 224,477 "," 585,735 "," 1,754,812 "
192, HSA_HH_EU_PT-GB WSSS CVV (FlrArea) , HSA_HH_EU_PT , GB WSSS CVV (FlrArea) , 315 ," 2,680 ", -   , 58 , 300 , 925 ," 1,269 "," 2,988 "," 5,915 "," 10,485 "," 12,435 "," 20,645 "," 33,288 "," 105,723 ", 60 , 116 , 371 ," 1,026 "," 1,382 "," 3,143 "," 6,120 "," 10,743 "," 12,709 "," 20,966 "," 33,642 "," 106,170 "
193, HSA_COMM_UK-GB WSSS CVV (FlrArea) , HSA_COMM_UK , GB WSSS CVV (FlrArea) , 35 , 525 , -   , -   , 6 , 54 , 86 , 261 , 620 ," 1,344 "," 1,682 "," 3,074 "," 5,062 "," 20,100 ", 7 , 12 , 17 , 62 , 95 , 273 , 637 ," 1,366 "," 1,705 "," 3,103 "," 5,096 "," 20,160 "
194, HSA_HH_UK-EUxESGB EQ Adj , HSA_HH_UK , EUxESGB EQ Adj ," 67,935 "," 525,587 ", 8 ," 2,451 "," 34,875 "," 183,283 "," 273,528 "," 730,959 "," 1,534,010 "," 2,787,218 "," 3,289,298 "," 5,225,245 "," 7,586,039 "," 17,091,906 ", 215 ," 2,828 "," 36,401 "," 188,993 "," 281,443 "," 748,439 "," 1,563,787 "," 2,829,658 "," 3,336,072 "," 5,283,399 "," 7,655,880 "," 17,190,052 "
195, HIC_HH_UK-GB WSSS (FlrArea) , HIC_HH_UK , GB WSSS (FlrArea) ," 4,534,831 "," 9,150,668 "," 1,197,335 "," 3,563,985 "," 6,549,135 "," 11,520,564 "," 13,829,207 "," 23,684,637 "," 37,859,653 "," 57,963,087 "," 65,409,751 "," 89,062,441 "," 111,838,255 "," 177,767,253 "," 2,211,093 "," 5,679,087 "," 9,430,764 "," 15,062,830 "," 17,520,346 "," 27,701,297 "," 42,275,919 "," 62,586,241 "," 70,066,223 "," 93,913,791 "," 116,953,556 "," 184,354,033 "
196, HSA_COMM_EU_DE-GB WSSS CVV (FlrArea) , HSA_COMM_EU_DE , GB WSSS CVV (FlrArea) , -   , 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 535 , -   , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 3 , 536 
197, HIC_HH_UK-GB WSSS CVV (FlrArea) , HIC_HH_UK , GB WSSS CVV (FlrArea) ," 3,346,147 "," 8,808,834 "," 621,476 "," 2,477,899 "," 5,010,847 "," 9,582,089 "," 11,937,727 "," 22,844,845 "," 37,717,560 "," 57,957,036 "," 65,408,128 "," 89,062,420 "," 111,838,255 "," 177,767,253 "," 1,187,881 "," 3,650,816 "," 6,701,211 "," 11,799,502 "," 14,282,520 "," 25,407,215 "," 40,685,247 "," 61,236,584 "," 68,747,870 "," 92,633,291 "," 115,673,995 "," 183,035,865 "
198, HSA_COMM_EU_IE-GB WSSS , HSA_COMM_EU_IE , GB WSSS ," 12,011 "," 54,498 ", 777 ," 6,933 "," 19,721 "," 44,909 "," 56,472 "," 106,786 "," 186,904 "," 306,716 "," 354,364 "," 529,000 "," 738,574 "," 1,604,621 "," 1,971 "," 9,237 "," 23,459 "," 50,393 "," 62,572 "," 114,870 "," 196,846 "," 318,153 "," 366,232 "," 541,988 "," 752,711 "," 1,622,119 "
199, HIG_FA_GU-GB WSSS , HIG_FA_GU , GB WSSS ," 26,833 "," 54,051 "," 5,633 "," 23,774 "," 47,172 "," 79,215 "," 91,726 "," 139,233 "," 203,982 "," 292,549 "," 327,127 "," 454,530 "," 610,578 "," 1,283,396 "," 12,207 "," 35,687 "," 63,559 "," 100,155 "," 114,070 "," 165,516 "," 233,256 "," 323,535 "," 358,411 "," 486,374 "," 642,683 "," 1,317,160 "
200, HSA_COMM_EU_IE-GB WSSS CVV (FlrArea) , HSA_COMM_EU_IE , GB WSSS CVV (FlrArea) ," 9,120 "," 49,522 ", 472 ," 4,058 "," 11,984 "," 30,461 "," 39,770 "," 83,654 "," 159,018 "," 274,336 "," 320,151 "," 487,641 "," 689,029 "," 1,531,316 "," 1,581 "," 5,805 "," 14,605 "," 34,153 "," 43,859 "," 89,094 "," 165,839 "," 282,383 "," 328,641 "," 497,217 "," 699,762 "," 1,545,398 "
201, S33_FA_EU_BE-EUxESGB EQ , S33_FA_EU_BE , EUxESGB EQ ," 10,082 "," 225,187 ",                       -   ,                       -   ,                         -   , 8 , 45 ," 15,820 "," 122,925 "," 393,707 "," 523,238 "," 1,074,945 "," 1,903,311 "," 9,971,877 ",                       -   ,                         -   ,                         -   , 112 , 425 ," 15,883 "," 123,442 "," 395,310 "," 525,303 "," 1,078,749 "," 1,909,326 "," 9,983,580 "
202, HSA_FA_EU_BE-GB WSSS CVV , HSA_FA_EU_BE , GB WSSS CVV , 265 ," 1,233 ", 24 , 207 , 489 , 932 ," 1,123 "," 1,946 "," 3,338 "," 5,569 "," 6,484 "," 9,988 "," 14,656 "," 42,509 ", 61 , 277 , 599 ," 1,089 "," 1,294 "," 2,162 "," 3,585 "," 5,835 "," 6,755 "," 10,281 "," 14,966 "," 42,876 "
203, S33_FA_EU_NL-EUxGB WS CVV , S33_FA_EU_NL , EUxGB WS CVV , 61 , 450 , 1 , 29 , 113 , 258 , 317 , 547 , 868 ," 1,355 "," 1,571 "," 2,534 "," 4,125 "," 17,093 ", 14 , 43 , 133 , 287 , 350 , 591 , 925 ," 1,422 "," 1,640 "," 2,606 "," 4,197 "," 17,175 "
204, HSA_FA_EU_DE-EU FL HD , HSA_FA_EU_DE , EU FL HD ," 161,489 "," 931,191 ", -   ," 8,176 "," 93,038 "," 448,653 "," 670,033 "," 2,312,068 "," 4,928,484 "," 7,351,422 "," 8,009,632 "," 9,413,068 "," 11,027,257 "," 16,812,028 ",                       -   ," 8,531 "," 96,523 "," 464,939 "," 684,755 "," 2,347,959 "," 5,007,252 "," 7,442,630 "," 8,135,429 "," 9,584,423 "," 11,434,747 "," 17,447,654 "
205, S33_FA_Lloyds-EUxESGB EQ Adj , S33_FA_Lloyds , EUxESGB EQ Adj ," 412,045 "," 3,120,834 "," 1,042 "," 72,812 "," 360,702 "," 1,201,955 "," 1,679,265 "," 4,069,192 "," 8,267,222 "," 15,044,981 "," 17,899,836 "," 28,948,605 "," 42,804,354 "," 104,389,624 "," 9,596 "," 84,503 "," 391,171 "," 1,268,615 "," 1,760,791 "," 4,207,786 "," 8,474,809 "," 15,324,490 "," 18,199,998 "," 29,304,626 "," 43,216,947 "," 104,973,042 "
206, HIG_FA_GU-GB WSSS CVV , HIG_FA_GU , GB WSSS CVV ," 18,590 "," 47,716 "," 3,454 "," 12,500 "," 29,570 "," 56,975 "," 68,283 "," 112,821 "," 175,728 "," 264,229 "," 299,326 "," 430,094 "," 591,046 "," 1,276,925 "," 8,310 "," 20,762 "," 39,973 "," 69,906 "," 82,057 "," 129,155 "," 194,266 "," 284,356 "," 319,805 "," 451,389 "," 612,843 "," 1,300,804 "
207, S33_FA_Lloyds_SRP-EU FL HD , S33_FA_Lloyds_SRP , EU FL HD ," 60,821 "," 1,087,838 ", -   , -   , -   ," 5,182 "," 20,023 "," 240,972 "," 877,284 "," 2,232,693 "," 2,945,808 "," 5,190,276 "," 12,931,809 "," 50,833,784 ",                       -   ,                         -   ,                         -   ," 5,290 "," 20,241 "," 242,237 "," 885,779 "," 2,230,157 "," 2,986,154 "," 5,283,356 "," 13,056,636 "," 51,534,519 "
208, HSA_COMM_EU_IE-DE FL , HSA_COMM_EU_IE , DE FL , 144 ," 3,371 ",                       -   ,                       -   , -   , -   , -   , 3 , 422 ," 3,533 "," 5,658 "," 16,766 "," 35,086 "," 161,195 ",                       -   ,                         -   , 1 , 3 , 4 , 11 , 423 ," 3,541 "," 5,670 "," 16,798 "," 35,153 "," 161,413 "
209, HSA_COMM_UK-GB WSSS , HSA_COMM_UK , GB WSSS , 50 , 582 , -   , -   , 12 , 98 , 154 , 465 ," 1,075 "," 2,101 "," 2,525 "," 4,154 "," 6,332 "," 21,276 ", 8 , 13 , 21 , 108 , 166 , 481 ," 1,100 "," 2,134 "," 2,562 "," 4,200 "," 6,387 "," 21,352 "
210, HSA_COMM_EU_IE-GB FL , HSA_COMM_EU_IE , GB FL ," 5,004 "," 52,457 ",                       -   , 1 , 2 ," 2,164 "," 5,768 "," 35,407 "," 106,587 "," 269,792 "," 343,827 "," 604,686 "," 868,644 "," 1,552,066 ",                       -   , 19 , 66 ," 2,190 "," 5,825 "," 35,760 "," 107,574 "," 271,650 "," 346,000 "," 607,897 "," 872,691 "," 1,562,560 "
211, HSA_FA_EU_BE-EUxESGB EQ , HSA_FA_EU_BE , EUxESGB EQ ," 61,960 "," 1,851,736 ",                       -   ,                       -   , 163 ," 2,532 "," 6,244 "," 69,571 "," 420,141 "," 1,372,712 "," 1,899,471 "," 4,665,513 "," 11,313,439 "," 86,068,308 ",                       -   ,                         -   ," 1,866 "," 6,677 "," 9,462 "," 70,675 "," 422,864 "," 1,379,499 "," 1,907,932 "," 4,681,555 "," 11,338,792 "," 86,165,357 "
212, S33_FA_EU_ES-EUxESGB EQ , S33_FA_EU_ES , EUxESGB EQ , 123 ," 4,871 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 8 , 110 ," 4,099 "," 23,407 "," 253,780 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 10 , 110 ," 4,101 "," 23,421 "," 253,969 "
213, HSA_FA_EU_BE-EUxGB WS CVV , HSA_FA_EU_BE , EUxGB WS CVV ," 46,270 "," 82,486 "," 9,842 "," 39,527 "," 76,088 "," 124,511 "," 142,975 "," 210,676 "," 296,724 "," 405,187 "," 445,600 "," 590,974 "," 771,461 "," 1,793,909 "," 26,997 "," 65,742 "," 109,709 "," 165,532 "," 186,230 "," 260,188 "," 351,127 "," 462,942 "," 504,178 "," 651,176 "," 832,206 "," 1,853,639 "
214, S33_FA_UK-GB WSSS , S33_FA_UK , GB WSSS ," 2,008 "," 9,266 ", 147 ," 1,281 "," 3,246 "," 7,214 "," 9,191 "," 17,875 "," 30,595 "," 48,114 "," 54,973 "," 80,862 "," 114,976 "," 300,842 ", 380 ," 1,717 "," 3,949 "," 8,223 "," 10,289 "," 19,253 "," 32,276 "," 50,089 "," 57,032 "," 83,136 "," 117,415 "," 303,717 "
215, HSA_FA_EU_DE-EUxESGB EQ , HSA_FA_EU_DE , EUxESGB EQ ," 75,514 "," 928,129 ",                       -   , 102 ," 6,949 "," 55,407 "," 95,063 "," 439,683 "," 1,507,139 "," 3,626,104 "," 4,545,973 "," 8,147,623 "," 12,850,803 "," 35,737,867 ",                       -   , 977 ," 7,345 "," 56,863 "," 97,267 "," 446,062 "," 1,521,501 "," 3,652,496 "," 4,577,399 "," 8,195,418 "," 12,912,956 "," 35,846,088 "
216, S33_FA_UK_QS-GB FL HD , S33_FA_UK_QS , GB FL HD ," 1,086 "," 22,657 ", -   , -   , -   , -   , -   ," 1,326 "," 15,461 "," 40,023 "," 47,644 "," 85,040 "," 229,715 "," 902,514 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,332 "," 15,530 "," 39,993 "," 47,836 "," 85,005 "," 238,877 "," 1,243,027 "
217, HSA_FA_EU_ES-EUxESGB EQ Adj , HSA_FA_EU_ES , EUxESGB EQ Adj , 312 ," 15,834 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , -   , 101 ," 2,283 "," 4,305 "," 19,816 "," 57,589 "," 523,319 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 5 , 147 ," 2,288 "," 4,312 "," 19,841 "," 57,651 "," 523,654 "
218, S33_HH_EU_BE-EUxGB WS (FlrArea) , S33_HH_EU_BE , EUxGB WS (FlrArea) ," 1,074 "," 7,682 ", 1 , 170 ," 1,093 "," 3,663 "," 5,041 "," 11,524 "," 21,915 "," 37,028 "," 43,055 "," 65,984 "," 96,337 "," 269,304 ", 136 , 301 ," 1,271 "," 3,949 "," 5,373 "," 12,024 "," 22,611 "," 37,916 "," 44,009 "," 67,100 "," 97,607 "," 271,003 "
219, HSA_FA_EU_ES-GB WSSS , HSA_FA_EU_ES , GB WSSS , 34 , 192 , 1 , 19 , 56 , 123 , 154 , 294 , 536 , 903 ," 1,050 "," 1,606 "," 2,341 "," 6,591 ", 5 , 24 , 65 , 138 , 170 , 316 , 562 , 934 ," 1,082 "," 1,642 "," 2,380 "," 6,638 "
220, S33_FA_Lloyds-GB FL , S33_FA_Lloyds , GB FL ," 667,677 "," 2,777,757 ", 48 ," 121,451 "," 1,108,889 "," 3,650,950 "," 4,716,493 "," 8,928,874 "," 13,341,250 "," 17,682,867 "," 19,318,448 "," 25,008,868 "," 31,526,435 "," 55,653,893 "," 2,960 "," 128,753 "," 1,159,757 "," 3,783,402 "," 4,919,951 "," 9,269,187 "," 13,775,464 "," 18,394,679 "," 20,092,975 "," 25,930,563 "," 32,525,019 "," 56,837,838 "
221, HSA_FA_EU_FR-GB FL HD , HSA_FA_EU_FR , GB FL HD , 181 ," 11,449 ", -   , -   , -   , -   , -   , -   , -   , 242 , 683 ," 5,524 "," 25,278 "," 240,189 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 246 , 679 ," 5,568 "," 25,508 "," 262,118 "
222, S33_HH_EU_DE-EU FL HD , S33_HH_EU_DE , EU FL HD ," 1,217 "," 18,128 ", 1 , 1 , 1 , 1 , 94 ," 6,829 "," 25,496 "," 55,265 "," 70,075 "," 127,907 "," 199,160 "," 959,136 ",                       -   ,                         -   ,                         -   ,                         -   , 92 ," 6,905 "," 25,492 "," 55,389 "," 70,377 "," 129,424 "," 200,924 "," 1,011,073 "
223, HSA_FA_EU_NL-GB WSSS CVV , HSA_FA_EU_NL , GB WSSS CVV , 108 , 564 , 7 , 81 , 197 , 376 , 453 , 795 ," 1,422 "," 2,458 "," 2,885 "," 4,530 "," 6,748 "," 20,143 ", 16 , 101 , 233 , 431 , 514 , 875 ," 1,513 "," 2,557 "," 2,986 "," 4,642 "," 6,867 "," 20,287 "
224, S33_HH_EU_DE-EUxESGB EQ , S33_HH_EU_DE , EUxESGB EQ ," 30,875 "," 389,086 ",                       -   ,                       -   , 159 ," 21,647 "," 46,610 "," 231,008 "," 655,362 "," 1,421,414 "," 1,749,589 "," 3,042,284 "," 4,788,902 "," 15,585,349 ",                       -   ,                         -   , 663 ," 21,899 "," 47,146 "," 233,622 "," 662,066 "," 1,433,415 "," 1,763,440 "," 3,062,313 "," 4,815,689 "," 15,624,760 "
225, HSA_FA_EU_DE_QS-GB FL HD , HSA_FA_EU_DE_QS , GB FL HD , 210 ," 11,263 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 ," 17,853 "," 595,469 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   , 9 ," 17,952 "," 671,169 "
226, S33_HH_EU_DE-EUxGB WS (FlrArea) , S33_HH_EU_DE , EUxGB WS (FlrArea) ," 10,457 "," 41,580 ", 437 ," 6,707 "," 20,457 "," 45,092 "," 55,707 "," 98,437 "," 158,367 "," 238,448 "," 268,865 "," 378,430 "," 511,557 "," 1,143,062 "," 1,270 "," 8,390 "," 23,518 "," 49,949 "," 61,192 "," 105,904 "," 167,676 "," 249,259 "," 280,100 "," 390,784 "," 524,746 "," 1,158,465 "
227, HSA_FA_EU_FR-EU FL HD , HSA_FA_EU_FR , EU FL HD ," 220,702 "," 2,024,613 ", -   ," 1,749 "," 47,441 "," 424,231 "," 733,500 "," 2,451,848 "," 4,369,742 "," 6,400,000 "," 8,008,277 "," 18,517,268 "," 38,127,941 "," 59,550,334 ",                       -   ," 2,004 "," 48,796 "," 431,148 "," 750,861 "," 2,482,153 "," 4,422,336 "," 6,602,589 "," 8,301,151 "," 18,918,907 "," 38,853,435 "," 59,888,441 "
228, HSA_FA_EU_PT-GB FL , HSA_FA_EU_PT , GB FL , 4 , 359 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , -   , -   , -   , 19 ," 8,806 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , 1 , 1 , 2 , 19 ," 8,808 "
229, HSA_COMM_UK-DE FL , HSA_COMM_UK , DE FL ," 1,670 "," 24,802 ", -   , 1 , 56 ," 1,057 "," 1,893 "," 7,313 "," 25,820 "," 69,218 "," 90,093 "," 183,107 "," 325,580 "," 1,037,469 ", 7 , 66 , 133 ," 1,099 "," 1,948 "," 7,454 "," 26,092 "," 69,705 "," 90,672 "," 183,995 "," 326,802 "," 1,039,831 "
230, HSA_FA_UK-BE FL , HSA_FA_UK , BE FL , 88 , 803 , -   , 25 , 121 , 314 , 400 , 758 ," 1,305 "," 2,220 "," 2,662 "," 4,866 "," 8,670 "," 34,010 ", 8 , 33 , 135 , 339 , 430 , 801 ," 1,364 "," 2,292 "," 2,738 "," 4,945 "," 8,753 "," 34,132 "
231, HSA_HH_EU_BE-EUxGB WS , HSA_HH_EU_BE , EUxGB WS ," 725,010 "," 1,489,535 "," 194,283 "," 642,201 "," 1,170,609 "," 1,934,294 "," 2,238,348 "," 3,392,535 "," 4,962,310 "," 7,103,282 "," 7,932,302 "," 11,112,700 "," 16,072,332 "," 36,535,351 "," 396,279 "," 1,022,213 "," 1,683,035 "," 2,559,583 "," 2,895,628 "," 4,140,003 "," 5,779,413 "," 7,957,477 "," 8,795,381 "," 12,010,615 "," 16,951,965 "," 37,470,660 "
232, S33_HH_EU_ES-EUxESGB EQ Adj , S33_HH_EU_ES , EUxESGB EQ Adj , 76 ," 2,559 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 32 , 206 ," 4,084 "," 18,337 "," 136,316 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 32 , 206 ," 4,087 "," 18,348 "," 136,395 "
233, HSA_HH_EU_DE-EU FL HD , HSA_HH_EU_DE , EU FL HD ," 735,701 "," 3,080,193 "," 76,876 "," 521,269 "," 1,171,273 "," 2,573,080 "," 3,203,884 "," 5,689,736 "," 8,629,406 "," 17,093,525 "," 23,458,363 "," 35,393,160 "," 47,792,938 "," 81,674,457 "," 95,207 "," 643,787 "," 1,401,823 "," 2,902,203 "," 3,567,849 "," 6,060,432 "," 9,250,529 "," 17,988,864 "," 23,807,408 "," 36,001,608 "," 48,398,866 "," 84,054,658 "
234, S33_HH_EU_FR-EUxESGB EQ , S33_HH_EU_FR , EUxESGB EQ ," 7,901 "," 208,248 ",                       -   ,                       -   ,                         -   , 2 , 11 ," 2,719 "," 41,169 "," 229,509 "," 342,273 "," 854,837 "," 1,626,860 "," 9,916,720 ",                       -   ,                         -   ,                         -   , 39 , 184 ," 2,744 "," 41,308 "," 230,111 "," 343,127 "," 856,867 "," 1,630,532 "," 9,924,616 "
235, HSA_HH_EU_DE-EUxESGB EQ Adj , HSA_HH_EU_DE , EUxESGB EQ Adj ," 188,427 "," 2,251,337 ", 40 ," 4,392 "," 47,183 "," 231,706 "," 365,178 "," 1,313,293 "," 3,626,775 "," 8,048,250 "," 10,048,568 "," 18,271,238 "," 29,577,322 "," 90,174,872 ", 738 ," 9,308 "," 51,019 "," 241,154 "," 377,646 "," 1,339,826 "," 3,675,807 "," 8,127,425 "," 10,138,406 "," 18,395,093 "," 29,738,316 "," 90,424,866 "
236, S33_FA_Lloyds_QS-GB FL HD , S33_FA_Lloyds_QS , GB FL HD ," 235,631 "," 1,437,001 ", -   , -   ," 17,294 "," 636,998 "," 1,128,084 "," 3,926,539 "," 7,436,666 "," 10,307,602 "," 11,174,727 "," 13,589,202 "," 17,183,443 "," 24,955,026 ",                       -   ,                         -   ," 17,550 "," 643,290 "," 1,142,324 "," 3,983,550 "," 7,530,815 "," 10,560,900 "," 11,347,843 "," 13,916,656 "," 17,246,103 "," 26,399,849 "
237, HSA_COMM_UK-EU FL HD , HSA_COMM_UK , EU FL HD ," 7,592 "," 126,553 ", -   , -   , -   , 297 ," 1,335 "," 11,916 "," 72,873 "," 316,647 "," 415,557 "," 965,000 "," 1,778,303 "," 5,600,000 ",                       -   ,                         -   ,                         -   , 299 ," 1,347 "," 12,013 "," 74,143 "," 316,785 "," 418,689 "," 978,113 "," 1,781,264 "," 5,600,004 "
238, HSA_FA_EU_IE-GB FL , HSA_FA_EU_IE , GB FL , 36 ," 2,439 ",                       -   ,                       -   ,                         -   , -   , -   , -   , -   , 16 , 55 , 678 ," 3,550 "," 79,347 ",                       -   ,                         -   ,                         -   , -   , 1 , 4 , 10 , 27 , 56 , 679 ," 3,553 "," 79,374 "
239, HSA_FA_EU_DE-EUxESGB EQ Adj , HSA_FA_EU_DE , EUxESGB EQ Adj ," 44,209 "," 781,517 ",                       -   , 40 ," 1,577 "," 19,094 "," 34,520 "," 158,096 "," 565,787 "," 1,660,831 "," 2,242,297 "," 4,871,759 "," 8,819,070 "," 34,017,478 ",                       -   , 572 ," 2,529 "," 19,672 "," 35,335 "," 160,442 "," 571,213 "," 1,671,221 "," 2,254,714 "," 4,891,536 "," 8,848,502 "," 34,075,985 "
240, HSA_HH_EU_DE-EUxGB WS CVV (FlrArea) , HSA_HH_EU_DE , EUxGB WS CVV (FlrArea) ," 777,331 "," 984,734 "," 229,205 "," 617,645 "," 1,036,644 "," 1,600,923 "," 1,819,799 "," 2,633,060 "," 3,662,661 "," 4,911,395 "," 5,363,033 "," 6,972,261 "," 9,042,833 "," 18,990,084 "," 551,208 "," 1,142,073 "," 1,692,620 "," 2,366,306 "," 2,614,938 "," 3,502,790 "," 4,582,389 "," 5,868,957 "," 6,332,334 "," 7,971,956 "," 10,046,238 "," 19,960,072 "
241, S33_FA_UK_SRP-GB FL HD , S33_FA_UK_SRP , GB FL HD ," 1,466 "," 110,934 ", 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ," 9,897 "," 85,359 "," 2,984,841 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                           -   ,                           -   ," 9,911 "," 86,200 "," 3,068,046 "
242, S33_HH_EU_FR-EUxGB WS CVV (FlrArea) , S33_HH_EU_FR , EUxGB WS CVV (FlrArea) , 318 ," 3,746 ", -   , 7 , 142 , 667 , 966 ," 2,579 "," 6,061 "," 12,330 "," 15,035 "," 26,001 "," 41,793 "," 147,424 ", 73 , 111 , 218 , 757 ," 1,063 "," 2,713 "," 6,238 "," 12,554 "," 15,276 "," 26,297 "," 42,142 "," 147,988 "
243, S33_HH_EU_BE-EUxGB WS , S33_HH_EU_BE , EUxGB WS ," 1,074 "," 7,700 ", 1 , 166 ," 1,088 "," 3,654 "," 5,031 "," 11,522 "," 21,947 "," 37,118 "," 43,169 "," 66,187 "," 96,643 "," 269,953 ", 136 , 298 ," 1,265 "," 3,940 "," 5,362 "," 12,022 "," 22,641 "," 38,005 "," 44,122 "," 67,303 "," 97,914 "," 271,653 "
244, HSA_FA_EU_ES-EU FL HD , HSA_FA_EU_ES , EU FL HD ," 1,125 "," 61,548 ", -   , -   , -   , -   , -   , -   , 66 ," 1,934 "," 3,101 "," 11,115 "," 46,745 "," 3,620,043 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 82 ," 1,927 "," 3,113 "," 11,121 "," 47,173 "," 3,703,621 "
245, HIC_COMM_UK-GB FL , HIC_COMM_UK , GB FL ," 2,606,160 "," 6,469,323 "," 349,592 "," 2,693,669 "," 5,872,694 "," 10,423,881 "," 12,248,816 "," 19,162,994 "," 28,029,110 "," 38,682,839 "," 42,492,055 "," 55,266,163 "," 69,071,795 "," 121,136,312 "," 436,486 "," 3,235,286 "," 6,926,976 "," 12,038,079 "," 14,032,083 "," 21,418,856 "," 30,653,768 "," 41,625,721 "," 45,519,122 "," 58,489,799 "," 72,512,681 "," 124,912,025 "
246, HSA_FA_EU_NL-GB FL HD , HSA_FA_EU_NL , GB FL HD ," 1,093 "," 19,796 ", -   , -   , -   , -   , -   , -   ," 6,061 "," 45,628 "," 66,297 "," 157,748 "," 280,844 "," 811,091 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 6,097 "," 45,759 "," 66,855 "," 160,747 "," 282,746 "," 821,465 "
247, S33_HH_EU_DE-EUxGB WS , S33_HH_EU_DE , EUxGB WS ," 10,457 "," 41,655 ", 430 ," 6,693 "," 20,439 "," 45,111 "," 55,745 "," 98,562 "," 158,621 "," 238,885 "," 269,375 "," 379,207 "," 512,658 "," 1,145,588 "," 1,264 "," 8,370 "," 23,493 "," 49,958 "," 61,221 "," 106,020 "," 167,923 "," 249,693 "," 280,607 "," 391,559 "," 525,847 "," 1,160,263 "
248, S33_HH_EU_NL-EU FL HD , S33_HH_EU_NL , EU FL HD , 433 ," 5,921 ", -   , -   , -   , -   , -   , 784 ," 15,204 "," 29,149 "," 32,600 "," 41,804 "," 49,706 "," 158,003 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 782 ," 15,229 "," 29,089 "," 32,893 "," 42,260 "," 50,885 "," 234,374 "
249, HSA_FA_EU_PT-EUxESGB EQ , HSA_FA_EU_PT , EUxESGB EQ ," 102,220 "," 1,995,341 ",                       -   , 15 , 100 ," 4,987 "," 14,378 "," 142,568 "," 833,973 "," 3,239,872 "," 4,693,385 "," 12,696,139 "," 25,517,899 "," 87,846,671 ",                       -   , 328 ," 2,144 "," 7,306 "," 15,123 "," 144,143 "," 839,012 "," 3,253,105 "," 4,710,667 "," 12,729,246 "," 25,569,346 "," 88,007,102 "
250, S33_HH_EU_NL-EUxGB WS CVV (FlrArea) , S33_HH_EU_NL , EUxGB WS CVV (FlrArea) ," 2,387 "," 13,631 ", 19 , 984 ," 3,629 "," 9,232 "," 11,919 "," 23,781 "," 42,152 "," 68,517 "," 78,944 "," 118,270 "," 169,654 "," 455,885 ", 393 ," 1,394 "," 4,258 "," 10,195 "," 13,004 "," 25,270 "," 44,051 "," 70,797 "," 81,339 "," 120,954 "," 172,597 "," 459,708 "
251, S33_HH_EU_NL-EUxGB WS (FlrArea) , S33_HH_EU_NL , EUxGB WS (FlrArea) ," 2,503 "," 13,746 ", 24 ," 1,099 "," 3,973 "," 9,941 "," 12,753 "," 24,929 "," 43,385 "," 69,534 "," 79,846 "," 118,697 "," 169,654 "," 455,826 ", 399 ," 1,524 "," 4,640 "," 10,970 "," 13,913 "," 26,524 "," 45,415 "," 71,965 "," 82,382 "," 121,543 "," 172,748 "," 459,640 "
